"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error","target_date","target_pub_date","surprise_raw","surprise","year_month"
"factor_midas","France","Revenues",2014-11-06,691.825378142922,2,NA,NA,NA,NA,NA,NA,2014-11-01,2032.89999999997,"Total revenues accrual",NA,"OK",NA,2014-10-01,2014-12-15,23.7706735889742,23.7706735889742,"2014-11"
"factor_midas","France","Revenues",2014-11-15,3267.30801544979,2,NA,NA,NA,NA,NA,NA,2014-11-01,2032.89999999997,"Total revenues accrual",NA,"OK",NA,2014-10-01,2014-12-15,2575.48263730687,2575.48263730687,"2014-11"
"factor_midas","France","Revenues",2014-11-27,6794.96771707846,2,NA,NA,NA,NA,NA,NA,2014-11-01,2032.89999999997,"Total revenues accrual",NA,"OK",NA,2014-10-01,2014-12-15,3527.65970162867,3527.65970162867,"2014-11"
"factor_midas","France","Revenues",2014-12-01,7306.00830030054,2,NA,NA,NA,NA,NA,NA,2014-12-01,2032.89999999997,"Total revenues accrual",NA,"OK",NA,2014-10-01,2014-12-15,511.040583222077,511.040583222077,"2014-12"
"factor_midas","France","Revenues",2014-12-05,7256.33292980785,2,NA,NA,NA,NA,NA,NA,2014-12-01,2032.89999999997,"Total revenues accrual",NA,"OK",NA,2014-10-01,2014-12-15,-49.6753704926923,-49.6753704926923,"2014-12"
"factor_midas","France","Revenues",2014-12-15,3406.26668798851,2,NA,NA,NA,NA,NA,NA,2014-12-01,-482.399999999965,"Total revenues accrual",NA,"OK",NA,2015-01-01,2015-03-15,NA,0,"2014-12"
"factor_midas","France","Revenues",2014-12-25,3400.56062724595,2,NA,NA,NA,NA,NA,NA,2014-12-01,-482.399999999965,"Total revenues accrual",NA,"OK",NA,2015-01-01,2015-03-15,-5.70606074255375,-5.70606074255375,"2014-12"
"factor_midas","France","Revenues",2014-12-27,3234.93614387946,2,NA,NA,NA,NA,NA,NA,2014-12-01,-482.399999999965,"Total revenues accrual",NA,"OK",NA,2015-01-01,2015-03-15,-165.624483366496,-165.624483366496,"2014-12"
"factor_midas","France","Revenues",2015-01-01,3332.05112470327,2,NA,NA,NA,NA,NA,NA,2015-01-01,-482.399999999965,"Total revenues accrual",NA,"OK",NA,2015-01-01,2015-03-15,97.1149808238088,97.1149808238088,"2015-01"
"factor_midas","France","Revenues",2015-01-04,3327.12438606724,2,NA,NA,NA,NA,NA,NA,2015-01-01,-482.399999999965,"Total revenues accrual",NA,"OK",NA,2015-01-01,2015-03-15,-4.9267386360234,-4.9267386360234,"2015-01"
"factor_midas","France","Revenues",2015-01-05,3507.00931402692,2,NA,NA,NA,NA,NA,NA,2015-01-01,-482.399999999965,"Total revenues accrual",NA,"OK",NA,2015-01-01,2015-03-15,179.884927959678,179.884927959678,"2015-01"
"factor_midas","France","Revenues",2015-01-15,4277.02407549091,2,NA,NA,NA,NA,NA,NA,2015-01-01,-482.399999999965,"Total revenues accrual",NA,"OK",NA,2015-01-01,2015-03-15,770.014761463995,770.014761463995,"2015-01"
"factor_midas","France","Revenues",2015-01-27,4575.02824187613,2,NA,NA,NA,NA,NA,NA,2015-01-01,-482.399999999965,"Total revenues accrual",NA,"OK",NA,2015-01-01,2015-03-15,298.004166385213,298.004166385213,"2015-01"
"factor_midas","France","Revenues",2015-01-29,4601.28150299945,2,NA,NA,NA,NA,NA,NA,2015-01-01,-482.399999999965,"Total revenues accrual",NA,"OK",NA,2015-01-01,2015-03-15,26.2532611233255,26.2532611233255,"2015-01"
"factor_midas","France","Revenues",2015-02-01,3628.78218146042,2,NA,NA,NA,NA,NA,NA,2015-02-01,-482.399999999965,"Total revenues accrual",NA,"OK",NA,2015-01-01,2015-03-15,-972.499321539031,-972.499321539031,"2015-02"
"factor_midas","France","Revenues",2015-02-05,3535.93944378494,2,NA,NA,NA,NA,NA,NA,2015-02-01,-482.399999999965,"Total revenues accrual",NA,"OK",NA,2015-01-01,2015-03-15,-92.8427376754817,-92.8427376754817,"2015-02"
"factor_midas","France","Revenues",2015-02-07,4048.06427484938,2,NA,NA,NA,NA,NA,NA,2015-02-01,-482.399999999965,"Total revenues accrual",NA,"OK",NA,2015-01-01,2015-03-15,512.124831064436,512.124831064436,"2015-02"
