"source","fragmentation_index","frag_ea_c","marginal_effect","ci_low","ci_high","ci_low_68","ci_high_68"
"GDP-weighted country aggregates",90.7744232178844,-9.2255767821156,0.947497974522427,-0.561336678103004,2.45633262714786,0.177684376244146,1.71731157280071
"GDP-weighted country aggregates",91.2588013630855,-8.74119863691452,0.828624044365958,-0.601436139432958,2.25868422816487,0.0990015016114094,1.55824658712051
"GDP-weighted country aggregates",91.7431795082866,-8.25682049171344,0.709750114209489,-0.642441238827427,2.06194146724641,0.0198565667416746,1.3996436616773
"GDP-weighted country aggregates",92.2275576534877,-7.77244234651235,0.590876184053019,-0.684517867519182,1.86627023562522,-0.0598350667491244,1.24158743485516
"GDP-weighted country aggregates",92.7119357986887,-7.28806420131127,0.47200225389655,-0.727871791143527,1.67187629893663,-0.140178381327979,1.08418288912108
"GDP-weighted country aggregates",93.1963139438898,-6.80368605611019,0.35312832374008,-0.772760066267139,1.4790167137473,-0.221304528304419,0.92756117578458
"GDP-weighted country aggregates",93.6806920890909,-6.31930791090911,0.234254393583611,-0.819505927913832,1.28801471508105,-0.303378423506921,0.771887210674143
"GDP-weighted country aggregates",94.165070234292,-5.83492976570803,0.115380463427141,-0.868517991286997,1.09927891814128,-0.386608544080072,0.617369470934355
"GDP-weighted country aggregates",94.6494483794931,-5.35055162050695,-0.00349346672932804,-0.920314457344442,0.913327523885786,-0.471259278267651,0.464272344808995
"GDP-weighted country aggregates",95.1338265246941,-4.86617347530586,-0.122367396885798,-0.975552308902659,0.730817515131063,-0.557665821384196,0.312931027612601
"GDP-weighted country aggregates",95.6182046698952,-4.38179533010478,-0.241241327042267,-1.03505960912646,0.552576955041921,-0.646250654636241,0.163768000551706
"GDP-weighted country aggregates",96.1025828150963,-3.8974171849037,-0.360115257198736,-1.09986497262017,0.379634458222699,-0.737538581393347,0.0173080669958738
"GDP-weighted country aggregates",96.5869609602974,-3.41303903970262,-0.478989187355206,-1.17121098965432,0.213232614943907,-0.832163576283324,-0.125814798427087
"GDP-weighted country aggregates",97.0713391054985,-2.92866089450154,-0.597863117511676,-1.25052812446969,0.0548018894463345,-0.930855468000456,-0.264870767022895
"GDP-weighted country aggregates",97.5557172506995,-2.44428274930046,-0.716737047668145,-1.33933756537906,-0.0941365299572299,-1.03439037303086,-0.399083722305433
"GDP-weighted country aggregates",98.0400953959006,-1.95990460409937,-0.835610977824614,-1.43905973589561,-0.232162219753615,-1.14349299724859,-0.527728958400635
"GDP-weighted country aggregates",98.5244735411017,-1.47552645889829,-0.954484907981084,-1.55074710550672,-0.358222710455452,-1.25870031488192,-0.650269501080251
"GDP-weighted country aggregates",99.0088516863028,-0.991148313697209,-1.07335883813755,-1.67482871967435,-0.471888956600755,-1.38023122667674,-0.766486449598371
"GDP-weighted country aggregates",99.4932298315039,-0.506770168496129,-1.19223276829402,-1.81099171506637,-0.57347382152168,-1.50792610848399,-0.876539428104052
"GDP-weighted country aggregates",99.9776079767049,-0.0223920232950476,-1.31110669845049,-1.95826854501044,-0.663944851890547,-1.6412913140423,-0.980922082858683
"GDP-weighted country aggregates",100.461986121906,0.461986121906033,-1.42998062860696,-2.11527872629298,-0.744682530920947,-1.77962251518146,-1.08033874203246
"GDP-weighted country aggregates",100.946364267107,0.946364267107114,-1.54885455876343,-2.28050182033037,-0.817207297196497,-1.92214397793023,-1.17556513959663
"GDP-weighted country aggregates",101.430742412308,1.4307424123082,-1.6677284889199,-2.45248396270893,-0.882973015130868,-2.06811393473063,-1.26734304310917
"GDP-weighted country aggregates",101.915120557509,1.91512055750928,-1.78660241907637,-2.6299492027558,-0.943255635396942,-2.21688139034139,-1.35632344781136
"GDP-weighted country aggregates",102.39949870271,2.39949870271036,-1.90547634923284,-2.8118348031903,-0.99911789527538,-2.3679041318642,-1.44304856660148
"GDP-weighted country aggregates",102.883876847911,2.88387684791144,-2.02435027938931,-2.99728229253052,-1.0514182662481,-2.52074416364503,-1.52795639513359
"GDP-weighted country aggregates",103.368254993113,3.36825499311252,-2.14322420954578,-3.18560943725528,-1.10083898183628,-2.67505340735675,-1.61139501173481
"GDP-weighted country aggregates",103.852633138314,3.85263313831361,-2.26209813970225,-3.37627785111155,-1.14791842829295,-2.83055717613556,-1.69363910326893
