"source","h","state","irf","se_irf","ci_low","ci_high","ci_low_68","ci_high_68"
"Direct euro area EA-MD factors",2,"Average fragmentation",-0.731633741886197,0.292804949299431,-1.30553144251308,-0.157736041259311,-1.02443869118563,-0.438828792586765
"Direct euro area EA-MD factors",3,"Average fragmentation",-0.125855867763112,0.561016275073597,-1.22544776690736,0.973736031381138,-0.686872142836709,0.435160407310485
"Direct euro area EA-MD factors",4,"Average fragmentation",-0.790145082325581,0.489165007561859,-1.74890849714682,0.168618332495663,-1.27931008988744,-0.300980074763722
"Direct euro area EA-MD factors",5,"Average fragmentation",-0.969526405458357,0.469454710065233,-1.88965763718621,-0.0493951737305012,-1.43898111552359,-0.500071695393125
"Direct euro area EA-MD factors",6,"Average fragmentation",-0.470681750340524,0.546852010179266,-1.54251169029189,0.601148189610837,-1.01753376051979,0.0761702598387417
"Direct euro area EA-MD factors",7,"Average fragmentation",0.876474333672665,0.91074092716446,-0.908577883569676,2.66152655091501,-0.0342665934917944,1.78721526083713
"Direct euro area EA-MD factors",8,"Average fragmentation",1.1828968238332,1.91426638815892,-2.56906529695828,4.93485894462468,-0.731369564325719,3.09716321199212
"Direct euro area EA-MD factors",9,"Average fragmentation",-1.79525427673409,1.26141891991736,-4.26763535977212,0.677126806303942,-3.05667319665145,-0.533835356816725
"Direct euro area EA-MD factors",10,"Average fragmentation",-1.64064297051553,0.89243830976243,-3.38982205764989,0.108536116618834,-2.53308128027796,-0.748204660753099
"Direct euro area EA-MD factors",11,"Average fragmentation",-1.03902374815651,0.711113317919722,-2.43280585127916,0.354758354966151,-1.75013706607623,-0.327910430236783
"Direct euro area EA-MD factors",12,"Average fragmentation",-1.14566506228951,0.539321508441962,-2.20273521883575,-0.0885949057432633,-1.68498657073147,-0.606343553847546
"Direct euro area EA-MD factors",13,"Average fragmentation",-0.703559992164943,0.369630853277261,-1.42803646458837,0.020916480258489,-1.0731908454422,-0.333929138887682
"Direct euro area EA-MD factors",14,"Average fragmentation",-0.769512609183182,0.419238053324979,-1.59121919370014,0.0521939753337768,-1.18875066250816,-0.350274555858203
"Direct euro area EA-MD factors",15,"Average fragmentation",-0.456240315250188,0.363605820384461,-1.16890772320373,0.256427092703356,-0.819846135634648,-0.0926344948657268
"Direct euro area EA-MD factors",16,"Average fragmentation",-0.324189242092444,0.579697913722062,-1.46039715298768,0.812018668802797,-0.903887155814505,0.255508671629618
"Direct euro area EA-MD factors",17,"Average fragmentation",-0.830350268016903,0.614290347408655,-2.03435934893787,0.37365881290406,-1.44464061542556,-0.216059920608248
